Method,Name,Error,Occurrences,First Seen,Last Seen
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:42.286186-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:42Z,2026-06-18T01:54:42Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:55.03772-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:55Z,2026-06-18T01:54:55Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:43.757215-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:43Z,2026-06-18T01:54:43Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:53.42876-04:00""}""
>",1,2026-06-18T01:54:53Z,2026-06-18T01:54:53Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:21.975585-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:21Z,2026-06-18T01:54:21Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:37.403871-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:37Z,2026-06-18T01:54:37Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:42.688191-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:42Z,2026-06-18T01:54:42Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:26.695974-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:26Z,2026-06-18T01:54:26Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:40.497165-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:40Z,2026-06-18T01:54:40Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:26.150245-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:26Z,2026-06-18T01:54:26Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:30.611122-04:00""}""
>",1,2026-06-18T01:54:30Z,2026-06-18T01:54:30Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:39.958437-04:00""}""
>",1,2026-06-18T01:54:39Z,2026-06-18T01:54:39Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:42.956427-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:42Z,2026-06-18T01:54:42Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:31.992545-04:00""}""
>",1,2026-06-18T01:54:31Z,2026-06-18T01:54:31Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:48.504606-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:48Z,2026-06-18T01:54:48Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {created_time:""2026-06-17T21:54:41.594076-04:00"", grpc_status:13, grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found""}""
>",1,2026-06-18T01:54:41Z,2026-06-18T01:54:41Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:41.745971-04:00""}""
>",1,2026-06-18T01:54:41Z,2026-06-18T01:54:41Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:41.172333-04:00""}""
>",1,2026-06-18T01:54:41Z,2026-06-18T01:54:41Z
gRPC,Classify/default,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.INTERNAL
	details = ""[StatusCode.NOT_FOUND] Request for unknown model: 'fp32' is not found""
	debug_error_string = ""UNKNOWN:Error received from peer ipv4:34.178.244.104:50051 {grpc_message:""[StatusCode.NOT_FOUND] Request for unknown model: \'fp32\' is not found"", grpc_status:13, created_time:""2026-06-17T21:54:28.321668-04:00""}""
>",1,2026-06-18T01:54:28Z,2026-06-18T01:54:28Z
